num_v,p,time
1024,1,1663.152954
1024,16,1970.906006
1024,2,1527.308960
1024,32,2660.145996
1024,4,1549.852051
1024,64,3832.819092
1024,8,1749.144043
128,16,14.841000
128,1,6.903000
128,2,8.606000
128,32,29.907000
128,4,9.201000
128,64,43.736000
128,8,11.058000
16,1,0.030000
16,16,2.857000
16,2,0.805000
16,32,4.876000
16,4,0.695000
16,64,10.052000
16,8,1.487000
256,1,28.964001
256,16,52.808998
256,2,33.991001
256,32,106.017998
256,4,33.605000
256,64,166.949997
256,8,42.618999
32,1,0.204000
32,16,4.453000
32,2,0.886000
32,32,7.737000
32,4,1.067000
32,64,14.173000
32,8,2.284000
512,1,220.365997
512,16,279.362000
512,2,220.149002
512,32,475.848999
512,4,212.753998
512,64,676.617981
512,8,243.035004
64,1,1.497000
64,16,7.645000
64,2,2.352000
64,32,13.921000
64,4,2.438000
64,64,24.695000
64,8,4.042000
