N, T, W, D, Speedup
2, 32768, 1000, 32, 0.90721
3, 32768, 1000, 32, 1.48558
5, 32768, 1000, 32, 2.70837
9, 32768, 1000, 32, 3.10113
14, 32768, 1000, 32, 2.37676
28, 32768, 1000, 32, 1.99491
2, 32768, 2000, 32, 0.9445
3, 32768, 2000, 32, 1.67801
5, 32768, 2000, 32, 3.16981
9, 32768, 2000, 32, 5.95701
14, 32768, 2000, 32, 5.07755
28, 32768, 2000, 32, 4.77117
2, 32768, 4000, 32, 0.97391
3, 32768, 4000, 32, 1.73767
5, 32768, 4000, 32, 3.41029
9, 32768, 4000, 32, 6.70845
14, 32768, 4000, 32, 10.45227
28, 32768, 4000, 32, 5.65884
2, 32768, 8000, 32, 0.98338
3, 32768, 8000, 32, 1.78872
5, 32768, 8000, 32, 3.4591
9, 32768, 8000, 32, 6.74962
14, 32768, 8000, 32, 11.0264
28, 32768, 8000, 32, 7.37146
