M,n,W,U,D,L,S,Speedup
2000,1,1000,t,8,nan,L,0.88054 
2000,1,1000,t,8,p,H,0.88662 
2000,1,1000,t,8,a,H,0.86900 
2000,1,1000,t,8,p,A,0.85717 
2000,1,1000,t,8,a,A,0.86480 
2000,2,1000,t,8,nan,L,1.63696 
2000,2,1000,t,8,p,H,1.63530 
2000,2,1000,t,8,a,H,1.61913 
2000,2,1000,t,8,p,A,1.65077 
2000,2,1000,t,8,a,A,1.62238 
2000,3,1000,t,8,nan,L,2.28197 
2000,3,1000,t,8,p,H,2.12378 
2000,3,1000,t,8,a,H,2.08350 
2000,3,1000,t,8,p,A,2.26069 
2000,3,1000,t,8,a,A,2.17918 
2000,7,1000,t,8,nan,L,0.91991 
2000,7,1000,t,8,p,H,1.01116 
2000,7,1000,t,8,a,H,0.78812 
2000,7,1000,t,8,p,A,2.30474 
2000,7,1000,t,8,a,A,1.42955 
2000,13,1000,t,8,nan,L,0.30589 
2000,13,1000,t,8,p,H,0.23445 
2000,13,1000,t,8,a,H,0.34535 
2000,13,1000,t,8,p,A,0.19423 
2000,13,1000,t,8,a,A,0.10050 
2000,27,1000,t,8,nan,L,0.34704 
2000,27,1000,t,8,p,H,0.28208 
2000,27,1000,t,8,a,H,0.18160 
2000,27,1000,t,8,p,A,0.02397 
2000,27,1000,t,8,a,A,0.01791 
2000,1,2000,t,8,nan,L,0.94004 
2000,1,2000,t,8,p,H,0.91999 
2000,1,2000,t,8,a,H,0.90846 
2000,1,2000,t,8,p,A,0.91216 
2000,1,2000,t,8,a,A,0.90763 
2000,2,2000,t,8,nan,L,1.69158 
2000,2,2000,t,8,p,H,1.72536 
2000,2,2000,t,8,a,H,1.67144 
2000,2,2000,t,8,p,A,1.68452 
2000,2,2000,t,8,a,A,1.73394 
2000,3,2000,t,8,nan,L,2.30722 
2000,3,2000,t,8,p,H,2.13073 
2000,3,2000,t,8,a,H,2.27776 
2000,3,2000,t,8,p,A,2.48307 
2000,3,2000,t,8,a,A,2.43643 
2000,7,2000,t,8,nan,L,0.88516 
2000,7,2000,t,8,p,H,1.45592 
2000,7,2000,t,8,a,H,1.12010 
2000,7,2000,t,8,p,A,3.15642 
2000,7,2000,t,8,a,A,2.33407 
2000,13,2000,t,8,nan,L,0.47752 
2000,13,2000,t,8,p,H,0.74226 
2000,13,2000,t,8,a,H,0.59824 
2000,13,2000,t,8,p,A,0.30254 
2000,13,2000,t,8,a,A,0.08154 
2000,27,2000,t,8,nan,L,0.39737 
2000,27,2000,t,8,p,H,0.57767 
2000,27,2000,t,8,a,H,0.53889 
2000,27,2000,t,8,p,A,0.03657 
2000,27,2000,t,8,a,A,0.03287 
2000,1,4000,t,8,nan,L,0.93765 
2000,1,4000,t,8,p,H,0.95353 
2000,1,4000,t,8,a,H,0.93598 
2000,1,4000,t,8,p,A,0.91876 
2000,1,4000,t,8,a,A,0.94803 
2000,2,4000,t,8,nan,L,1.69169 
2000,2,4000,t,8,p,H,1.74343 
2000,2,4000,t,8,a,H,1.71108 
2000,2,4000,t,8,p,A,1.78511 
2000,2,4000,t,8,a,A,1.81407 
2000,3,4000,t,8,nan,L,2.00297 
2000,3,4000,t,8,p,H,2.32294 
2000,3,4000,t,8,a,H,1.91190 
2000,3,4000,t,8,p,A,2.57977 
2000,3,4000,t,8,a,A,2.57338 
2000,7,4000,t,8,nan,L,1.30735 
2000,7,4000,t,8,p,H,1.83174 
2000,7,4000,t,8,a,H,1.42193 
2000,7,4000,t,8,p,A,2.86608 
2000,7,4000,t,8,a,A,0.94204 
2000,13,4000,t,8,nan,L,0.71720 
2000,13,4000,t,8,p,H,0.56184 
